,info_brand,info_name,info_money,info_store,info_commit
817,vivo,vivo Z5i 8GB+128GB 玛瑙黑 骁龙675处理器 5000mAh大电池 超广角AI智慧三摄 全网通4G【购机补贴版】,1798,vivo京东自营官方旗舰店,1000+
818,vivo,vivo X30 5G 秘银 8GB+256GB 双模5G 20倍变焦 50mm专业人像镜头 全网通智慧旗舰手机【购机补贴版】,3298,vivo京东自营官方旗舰店,1万+
819,vivo,vivo Y50 8GB+128GB 流光银 5000mAh大电池 极点屏 后置四摄 全网通4G手机【购机补贴版】,1698,vivo京东自营官方旗舰店,6000+
820,vivo,vivo Y5s 6GB+128GB 琉璃黑 超广角微距AI三摄 5000mAh大电池 移动联通电信全网通4G手机【购机补贴版】,1498,vivo京东自营官方旗舰店,6000+
821,vivo,vivo X30 5G 虹影 8GB+128GB 双模5G 20倍变焦 50mm专业人像镜头 全网通智慧旗舰手机【合约立减版】,2998,vivo京东自营官方旗舰店,2000+
822,vivo,vivo X50 Pro+ 5G手机 8+256GB 驼色 超清一亿模式 高通骁龙865 60倍超级变焦 双模5G全网通手机【购机补贴版】,5498,vivo京东自营官方旗舰店,1000+
823,vivo,vivo X50 Pro+ 5G手机 8+128GB 驼色 超清一亿模式 高通骁龙865 60倍超级变焦 双模5G全网通手机【购机补贴版】,4998,vivo京东自营官方旗舰店,400+
824,vivo,vivo Y3 4GB+64GB版 墨黛蓝 5000mAh大电池 强劲续航手机 超广角AI智慧三摄 移动联通电信全网通4G手机【购机补贴版】,1098,vivo京东自营官方旗舰店,1万+
825,vivo,vivo S5 8GB+256GB 星眸黑 前置3200万写真级自拍 4800万菱感四摄极点屏手机 全网通4G手机【购机补贴版】,2298,vivo京东自营官方旗舰店,2000+
826,小米（MI）,小米10青春版 双模5G 骁龙765G 50倍潜望式变焦四摄 6GB+128GB 黑巧风暴 游戏手机【购机补贴版】,1999,小米京东自营旗舰店,2万+
827,OPPO,OPPO A11 5000mAh大电池 AI四摄 视频防抖 6GB+256GB 湖光绿 全网通4G【购机补贴版】,1499,OPPO京东自营官方旗舰店,1万+
828,OPPO,"京品手机	
OPPO Reno3 Pro 双模5G 视频双防抖 90HZ高感曲面屏 7.7mm轻薄机身 12GB+256GB 日出印象【购机补贴版】",4199,OPPO京东自营官方旗舰店,8000+
829,OPPO,OPPO Reno4 65W超级闪充 视频超级防抖 双模5G 8GB+128GB 晶钻蓝 拍照游戏视频手机 【购机补贴版】,2999,OPPO京东自营官方旗舰店,1万+
830,OPPO,OPPO K7 双模5G 骁龙765G OLED屏幕指纹 4800万超清四摄 3200万前摄 8+128GB 海夜【购机补贴版】,1999,OPPO京东自营官方旗舰店,4万+
831,OPPO,OPPO Ace2 8+256 月岩灰 高通骁龙865 双模5G 65W超级闪充 40W无线闪充 90Hz电竞屏 游戏手机 【购机补贴版】,3999,OPPO京东自营官方旗舰店,2000+
832,OPPO,OPPO Find X2 Pro 兰博基尼版 120Hz 骁龙865 65w闪充12GB+512GB碳纤黑 双模5G 【购机补贴版】,12999,OPPO京东自营官方旗舰店,500+
833,OPPO,OPPO A92s 6GB+128GB 佳人粉 双模5G 120Hz全面屏 前置双摄+后置4800W四摄 侧边指纹【购机补贴版】,1999,OPPO京东自营官方旗舰店,3000+
834,荣耀（honor）,荣耀V30 PRO DXO122分 5G双模 麒麟990 5GSOC芯片 双超级快充 游戏手机8GB+256GB【购机补贴版】,4199,荣耀京东自营旗舰店,3万+
835,荣耀（HONOR）,"京品手机	
荣耀V30 PRO DXO122分 5G双模 麒麟990 5GSOC芯片 双超级快充 游戏手机8GB+128GB魅海星蓝 【购机补贴版】",3899,荣耀京东自营旗舰店,3万+
836,三星（SAMSUNG）,三星 Galaxy A71 5G（SM-A7160）双模5G 6400万后置四摄 4500mAh大电池 8GB+128GB 镭丝黑,2899,三星京东自营官方旗舰店,4万+
837,小米（MI）,Redmi 8A 5000mAh大电量 大字体大音量大内存 骁龙八核处理器 AI人脸解锁 莱茵护眼全面屏 4GB+64GB 耀夜黑 游戏智能老人手机 小米 红米,699,小米京东自营旗舰店,40万+
838,小米（MI）,Redmi Note8 4800万全场景四摄 4000mAh长续航 高通骁龙665 18W快充 小金刚品质保证 6GB+128GB 梦幻蓝 游戏智能手机 小米 红米【购机补贴版】,1299,小米京东自营旗舰店,5万+
839,真我（realme）,realme 真我X7 6400万高清四摄 65W SUPERDART智慧闪充 仅175g 超轻 超薄 C位色 8GB+128GB游戏 智能5g手机,1999,realme真我京东自营旗舰店,3000+
840,摩托罗拉（Motorola）,"京品手机	
摩托罗拉 razr 5G 刀锋折叠屏手机 双模5G全网通 超薄无缝无折痕+大双屏 4800万超强自拍 8GB+256GB 锋雅黑",12499,摩托罗拉手机京东自营官方旗舰店,3000+
841,小米（MI）,小米10 至尊纪念版 双模5G  骁龙865 120HZ高刷新率 120倍长焦镜头 120W快充 12GB+256GB  陶瓷黑  游戏手机,5999,小米京东自营旗舰店,4万+
842,小米（MI）,小米10 至尊纪念版 双模5G 骁龙865 120HZ高刷新率 120倍长焦镜头 120W快充 8GB+128GB 陶瓷黑 游戏手机,5299,小米京东自营旗舰店,1万+
843,小米（MI）,小米10 至尊纪念版 双模5G 骁龙865 120HZ高刷新率 120倍长焦镜头 120W快充 12GB+256GB  透明版 游戏手机,5999,小米京东自营旗舰店,3万+
844,OPPO,OPPO Ace2 8+256 【OPPO智能运动手环套装】月岩灰 高通骁龙865 185g超薄机身 65W超级闪充 40W无线闪充,4098,OPPO京东自营官方旗舰店,2000+
845,OPPO,OPPO Ace2 8+256 【OPPO智能运动手环套装】梦幻紫 高通骁龙865 185g超薄机身 65W超级闪充 40W无线闪充,4098,OPPO京东自营官方旗舰店,1000+
846,OPPO,OPPO Ace2 8+256 【OPPO Enco W31无线耳机套装】梦幻紫 高通骁龙865 双模5G 185g超薄机身 65W超级闪充,3999,OPPO京东自营官方旗舰店,1000+
847,OPPO,OPPO Reno4 【OPPO Enco W31无线耳机套装】 65W超级闪充 视频超级防抖 双模5G 8GB+128GB 晶钻蓝 视频手机,2899,OPPO京东自营官方旗舰店,1万+
848,飞利浦（PHILIPS ）,飞利浦（PHILIPS） S351F 咖啡黑 3+32GB 双屏高端智能翻盖手机 移动联通电信全网通4G 触屏老人商务手机,1799,飞利浦手机京东自营旗舰店,1000+
849,三星（SAMSUNG）,三星Galaxy Note20 Ultra 5G(SM-N9860) 12GB+256GB 初露白 S Pen&三星笔记 120Hz自适应屏幕 5G手机游戏手机,8069,中国移动官方旗舰店,100+
850,荣耀（HONOR）,荣耀Play4T 全网通6GB+64GB大内存 蓝水翡翠 4000mAh大电池 4800万AI摄影 6.39英寸魅眼屏,1099,荣耀京东自营旗舰店,1万+
851,荣耀（HONOR）,荣耀Play4T 全网通6GB+64GB大内存 幻夜黑 4000mAh大电池 4800万AI摄影 6.39英寸魅眼屏,1099,荣耀京东自营旗舰店,3万+
852,荣耀（HONOR）,荣耀Play4T 全网通6GB+64GB大内存 极光蓝 4000mAh大电池 4800万AI摄影 6.39英寸魅眼屏,1099,荣耀京东自营旗舰店,2万+
853,飞利浦（PHILIPS ）,飞利浦（PHILIPS） E517A  典雅黑 老人手机 移动联通电信三网4G 直板按键 儿童学生备用功能机4G 老年手机,299,飞利浦手机京东自营旗舰店,8万+
854,飞利浦（PHILIPS ）,飞利浦（PHILIPS） E517A 皇家蓝 老人手机 移动联通电信三网4G 直板按键 儿童学生备用功能机4G 老年手机,299,飞利浦手机京东自营旗舰店,5000+
855,真我（realme）,realme 真我X7 Pro 120Hz柔性屏 仅184g 65W闪充6400万超广角四摄 C位色 8GB+128GB 游戏5g轻薄旗舰手机,2499,realme真我京东自营旗舰店,4万+
856,三星（SAMSUNG）,三星Galaxy Z Fold2 5G(SM-F9160)双模5G折叠屏手机 骁龙865+ 内外双屏12GB+512GB迷雾金,16999,三星京东自营官方旗舰店,3000+
857,vivo,vivo iQOO 5 Pro 赛道版蓝牙耳机套装 8GB+256GB 120W闪充 骁龙865 游戏手机 双模5G全网通vivoiqoo5pro,5447,vivo京东自营官方旗舰店,6000+
858,vivo,vivo iQOO 5 Pro 赛道版蓝牙耳机套装 12GB+256GB 120W闪充 骁龙865 游戏手机 双模5G全网通vivoiqoo5pro,5947,vivo京东自营官方旗舰店,1万+
859,vivo,vivo X50 Pro+ 5G手机 12+256GB 驼色 超清一亿模式 高通骁龙865 60倍超级变焦 双模5G全网通手机【购机补贴版】,5998,vivo京东自营官方旗舰店,400+
860,vivo,vivo X50 Pro+ 5G手机 12+256GB 引力 超清一亿模式 高通骁龙865 60倍超级变焦 双模5G全网通手机【购机补贴版】,5998,vivo京东自营官方旗舰店,1000+
861,vivo,vivo Z5i 8GB+128GB 玉瓷青 骁龙675处理器 5000mAh大电池 超广角AI智慧三摄 全网通4G手机【购机补贴版】,1798,vivo京东自营官方旗舰店,2000+
862,vivo,"京品手机	
vivo S5 8GB+128GB 冰岛恋歌 前置3200万写真级自拍 4800万菱感四摄极点屏手机 全网通4G手机【购机补贴版】",1998,vivo京东自营官方旗舰店,1万+
863,vivo,vivo?NEX 3?5G 深空流光 8GB+256GB?无界瀑布屏?高通骁龙855Plus?6400万三摄 5G智慧旗舰手机?全网通手机【购机补贴版】,4998,vivo京东自营官方旗舰店,1万+
864,vivo,vivo Y5s 6GB+128GB 晶石蓝 超广角微距AI三摄 5000mAh大电池 移动联通电信全网通4G手机【购机补贴版】,1498,vivo京东自营官方旗舰店,3000+
865,vivo,vivo Y5s 6GB+128GB 晶石蓝 超广角微距AI三摄 5000mAh大电池 移动联通电信全网通4G手机【购机补贴版】,1498,vivo京东自营官方旗舰店,3000+
866,天语（K-Touch）,天语S9pro耀石黑 全网通4G+智能AI语音 老人手机 移动电信联通都能使用 专为老年人设计的经典手机,258,天语手机京东自营官方旗舰店,5000+
867,守护宝,守护宝（上海中兴）K230 蓝色 移动联通电信三网4G老人机 直板按键双卡双待老年手机 儿童学生备用功能老年机,199,守护宝手机京东自营旗舰店,1万+
868,守护宝,守护宝（上海中兴）F20 黑色 6英寸大屏 3G+32G 4G全网通老人机 双卡双待老人智能手机,449,守护宝手机京东自营旗舰店,5000+
869,守护宝,守护宝（上海中兴）F20 蓝色  6.0英寸大屏 3G+32G 4G全网通老人机 双卡双待老人智能手机,449,守护宝手机京东自营旗舰店,6000+
870,京崎（TOOKY）,京崎(TOOKY) A1 全网通4G触屏手写抖音微信直板按键智能移动联通电信老人老年手机 红色,299,京崎（TOOKY）手机京东自营旗舰店,700+
871,柔宇（ROYOLE）,柔宇ROYOLE FlexPai 2 新一代5G双模折叠屏手机 骁龙865旗舰四摄 类镜面平整度 柔派2 灰色8GB+256GB,9988,柔宇（ROYOLE）折叠屏手机京东自营旗舰店,1000+
872,荣耀（honor）,荣耀X10  5G双模 麒麟820 4300mAh续航 4000万高感光影像系统 全网通 8GB+128GB 探速黑【购机补贴版】,2399,荣耀京东自营旗舰店,4万+
873,荣耀（HONOR）,荣耀X10  5G双模 麒麟820 4300mAh续航 4000万高感光影像系统 全网通 8GB+128GB 竞速蓝【购机补贴版】,2399,荣耀京东自营旗舰店,4万+
874,OPPO,OPPO A32 8+128GB 琉璃黑5000mAh大电池 128G大内存 90Hz全面屏拍照视频手机,1498,京东超体OPPO专卖店,5
875,酷派（Coolpad）,酷派（Coolpad）COOL12A 4+64GB 珍珠全面屏智能手机 全网通4G 人脸指纹双解锁 老人儿童学生备用手机 梦幻银,599,酷派京东自营旗舰店,1万+
876,小米（MI）,Redmi 10X 4G Helio G85游戏芯 4800万超清四摄 5020mAh大电量 小孔全面屏 128GB大存储 6GB+128GB 明月灰 游戏智能手机 小米 红米【购机补贴版】,1199,小米京东自营旗舰店,2万+
877,小米（MI）,Redmi 10X 5G 天玑820 双5G待机 4800万流光相机 水滴全面屏 8GB+256GB 胧月金 游戏智能手机 小米 红米【购机补贴版】,2399,小米京东自营旗舰店,3000+
878,小米（MI）,Redmi 10X 5G 天玑820 双5G待机 4800万流光相机 水滴全面屏 8GB+128GB 星露白 游戏智能手机 小米 红米【购机补贴版】,2099,小米京东自营旗舰店,8000+
879,小米（MI）,Redmi 10X 5G 天玑820 双5G待机 4800万流光相机 水滴全面屏 8GB+256GB 凝夜紫 游戏智能手机 小米 红米【购机补贴版】,2399,小米京东自营旗舰店,1万+
880,小米（MI）,Redmi 9 大字体大音量大内存 全场景AI四摄 高性能游戏芯 4GB+128GB 墨黛青 游戏智能手机 小米 红米【购机补贴版】,999,小米京东自营旗舰店,6000+
881,小米（MI）,Redmi 10X 4G Helio G85游戏芯 4800万超清四摄 5020mAh大电量 小孔全面屏 128GB大存储 4GB+128GB 明月灰 游戏智能手机 小米 红米【购机补贴版】,999,小米京东自营旗舰店,5万+
882,小米（MI）,Redmi 8 5000mAh大电量 大字体大音量大内存 3D四曲面机身 AI双摄 骁龙八核处理器 AI人脸解锁 4GB+64GB 仙踪绿 游戏智能手机 小米 红米【购机补贴版】,799,小米京东自营旗舰店,1万+
883,小米（MI）,Redmi 9 大字体大音量大内存 全场景AI四摄 高性能游戏芯 4GB+128GB 藕荷粉 游戏智能手机 小米 红米【购机补贴版】,999,小米京东自营旗舰店,1万+
884,小米（MI）,Redmi 9 大字体大音量大内存 全场景AI四摄 高性能游戏芯 6GB+128GB 藕荷粉 游戏智能手机 小米 红米【购机补贴版】,1199,小米京东自营旗舰店,6000+
885,小米（MI）,Redmi 10X 5G 天玑820 双5G待机 4800万流光相机 水滴全面屏 8GB+256GB 深海蓝 游戏智能手机 小米 红米【购机补贴版】,2399,小米京东自营旗舰店,1万+
886,小米（MI）,Redmi 9 大字体大音量大内存 全场景AI四摄 高性能游戏芯 4GB+128GB 碳素黑 游戏智能手机 小米 红米【购机补贴版】,999,小米京东自营旗舰店,2万+
887,一加,一加手机 OnePlus 8T 5G旗舰 120Hz柔性直屏 65W闪充 高通骁龙865 超清四摄 12GB+256GB 青域 拍照游戏手机,3699,一加手机京东自营官方旗舰店,10万+
888,飞利浦（PHILIPS ）,飞利浦（PHILIPS）E515A 陨石黑 移动联通电信三网4G 翻盖老人手机 功能机4G 双卡双待老年手机学生备用机,499,飞利浦手机京东自营旗舰店,3000+
889,OPPO,OPPO A32 4+128GB 琉璃黑5000mAh大电池 128G大内存 90Hz全面屏拍照视频手机,1198,京东超体OPPO专卖店,0
890,锤子（smartisan）,坚果 R2 12GB+256GB 松绿色 1亿像素 骁龙865 双系统双模5G旗舰手机,4699,坚果手机京东自营官方旗舰店,8万+
891,三星（SAMSUNG）,"京品手机	
三星 Galaxy A51 5G 双模5G Super AMOLED屏 后置四摄 3200万前置 双卡双待 8GB+128GB迷踪黑【购机补贴版】",2999,三星京东自营官方旗舰店,2万+
892,三星（SAMSUNG）,三星 Galaxy Note20 5G（SM-N9810）S Pen&三星笔记  游戏手机 5G手机 8GB+256GB 迷雾金【购机补贴版】,7399,三星京东自营官方旗舰店,3000+
893,三星（SAMSUNG）,三星Galaxy Note10+ 5G(SM-N9760)骁龙855 后置四摄 智能S Pen  游戏手机12GB+256GB密斯白【购机补贴版】,6499,三星京东自营官方旗舰店,8000+
894,守护宝,守护宝（上海中兴）K399 黑色 移动联通电信三网4G老人机 双卡双待 翻盖手机老年机 儿童学生手机,439,守护宝手机京东自营旗舰店,5000+
895,OPPO,OPPO Reno4 SE【现货开售】 8+128 超闪蓝 65W超级闪充 3200万前置自拍 轻薄 双模5G 拍照手机【购机补贴版】,2499,OPPO京东自营官方旗舰店,2万+
896,OPPO,OPPO A32 8+128GB 幻想蓝 5000mAh超大电池 128G大内存 90Hz全面屏拍照视频游戏手机【购机补贴版】,1499,OPPO京东自营官方旗舰店,9000+
897,诺基亚（NOKIA）,诺基亚 NOKIA 215 4G 移动联通电信三网4G 黑色 直板按键 双卡双待 备用功能机 老人老年手机 学生备用机,289,诺基亚手机京东自营旗舰店,5万+
898,索尼（SONY）,索尼（SONY）Xperia5 II 5G智能手机 骁龙865 6.1英寸 21：9 120HzOLED屏 8GB+256GB 游戏支持 黑色,5999,SONY京东自营官方旗舰店,5000+
899,索尼（SONY）,索尼（SONY）Xperia1 II 5G智能手机 4K屏 骁龙865 12G+256G 微单技术 蔡司镀膜 拍照游戏 20帧/秒 夜砚黑,7199,SONY京东自营官方旗舰店,5000+
900,真我（realme）,realme 真我Q2 Pro 4800万四摄 65W智慧闪充 超轻超薄 轻潮灰 8GB+128GB  双5g游戏手机,1599,realme真我京东自营旗舰店,5万+
901,三星（SAMSUNG）,三星 Galaxy S20 FE 5G(SM-G7810)双模5G 骁龙865 120Hz屏幕刷新率 多彩雾面质感 游戏手机 8GB+256GB 空境白,4999,三星京东自营官方旗舰店,8万+
902,三星（SAMSUNG）,三星 Galaxy S20 FE 5G(SM-G7810)双模5G 骁龙865 120Hz屏幕刷新率 多彩雾面质感 游戏手机 8GB+128GB 异想蓝,4599,三星京东自营官方旗舰店,8万+
903,vivo,vivo iQOO Neo3 5G 8GB+128GB 极昼 高通骁龙865 144Hz竞速屏 立体双扬 44W闪充 双模5G全网通手机,2698,vivo京东自营官方旗舰店,6万+
904,荣耀（HONOR）,荣耀9X 麒麟810 4000mAh超强续航 4800万超清夜拍 6.59英寸升降全面屏 全网通8GB+128GB 【购机补贴版】,1999,荣耀京东自营旗舰店,1万+
905,荣耀（HONOR）,荣耀20青春版 AMOLED屏幕指纹 4000mAh大电池 20W快充 4800万 手机 8GB+128GB 幻夜黑【购机补贴】,1799,荣耀京东自营旗舰店,7000+
906,荣耀（HONOR）,荣耀9X 麒麟810 4000mAh超强续航 4800万超清夜拍 6.59英寸升降全面屏 全网通8GB+128GB 【购机补贴版】,1999,荣耀京东自营旗舰店,1万+
907,荣耀（HONOR）,荣耀9X 麒麟810 4000mAh超强续航 4800万超清夜拍 6.59英寸升降全面屏 6GB+128GB 魅焰红【购机补贴版】,1799,荣耀京东自营旗舰店,2万+
908,荣耀（HONOR）,荣耀20青春版 AMOLED屏幕指纹 4000mAh大电池 20W快充 4800万 手机 6GB+128GB 幻夜黑【购机补贴】,1599,荣耀京东自营旗舰店,2万+
909,荣耀（honor）,荣耀20青春版 AMOLED屏幕指纹 4000mAh大电池 20W快充 4800万 手机 6GB+128GB 冰岛幻境【购机补贴】,1599,荣耀京东自营旗舰店,3万+
910,荣耀（HONOR）,荣耀20青春版 AMOLED屏幕指纹 4000mAh大电池 20W快充 4800万 手机 8GB+128GB 冰岛幻境【购机补贴】,1799,荣耀京东自营旗舰店,8000+
911,荣耀（HONOR）,荣耀20青春版 AMOLED屏幕指纹 4000mAh大电池 20W快充 4800万 手机 6GB+128GB 蓝水翡翠【购机补贴】,1599,荣耀京东自营旗舰店,4万+
912,荣耀（HONOR）,荣耀9X 麒麟810 4000mAh超强续航 4800万超清夜拍 6.59英寸升降全面屏 6GB+128GB 冰岛白【购机补贴版】,1799,荣耀京东自营旗舰店,1万+
913,朵唯（DOOV）,朵唯（DOOV）K10 Pro 8GB+128GB 银月辉 智能手机 5G全网通 老人学生双卡双待手机,1199,朵唯手机京东自营旗舰店,300+
914,天语（K-Touch）,天语 K-Touch T15 Pro 全网通4G智能老人手机 微信抖音 超长待机 触屏手写 学生备用老年手机 黑色,289,天语手机京东自营官方旗舰店,2000+
915,诺基亚（NOKIA）,诺基亚 NOKIA 225 4G 移动联通电信三网4G 黑色 直板按键 双卡双待 备用功能机 老人老年手机 学生备用机,349,诺基亚手机京东自营旗舰店,5000+
916,三星（SAMSUNG）,三星 Galaxy S20 FE 5G(SM-G7810)双模5G 骁龙865 120Hz屏幕刷新率 多彩雾面质感 游戏手机 8GB+256GB 空境白,4999,三星京东自营官方旗舰店,2000+
917,三星（SAMSUNG）,三星 Galaxy S20 FE 5G(SM-G7810)双模5G 骁龙865 120Hz屏幕刷新率 多彩雾面质感 游戏手机 8GB+128GB 空境白,4599,三星京东自营官方旗舰店,4000+
918,Apple,Apple iPhone 12 mini (A2400) 128GB 白色 手机 支持移动联通电信5G,5999,Apple产品京东自营旗舰店,7万+
919,Apple,Apple iPhone 12 Pro Max (A2412) 256GB 海蓝色 支持移动联通电信5G 双卡双待手机,10099,Apple产品京东自营旗舰店,30万+
920,金立（Gionee）,金立 Gionee X50 8GB+128GB 初桃粉 3900mAh大电池 后置单摄 6.5英寸水滴屏 微信8开 全网通4G 双卡双待,799,金立手机京东自营旗舰店,3000+
921,小辣椒,小辣椒 9A 6GB+64GB 幻夜黑 3900mAh大电池 后置单摄 6.5英寸水滴屏 微信8开 全网通4G 双卡双待,599,小辣椒手机京东自营官方旗舰店,2000+
922,纽曼（Newman）,纽曼 Newman L8 星空黑 4G全网通 移动联通电信老人手机 双卡双待 大字大声 超长待机老年机 老年备用功能机,188,纽曼京东自营官方旗舰店,3000+
923,Apple,Apple iPhone 12 Pro Max (A2412) 128GB 金色 支持移动联通电信5G 双卡双待手机 换购版,9299,Apple产品京东自营旗舰店,5000+
924,真我（realme）,"京品手机	
realme 真我Q2 4800万像素 120Hz畅速屏 双5G天玑800U 冲浪蓝孩 4GB+128GB 30W闪充 手机 OPPO提供售后支持",1299,realme真我京东自营旗舰店,1万+
925,真我（realme）,"京品手机	
realme 真我Q2 4800万像素 120Hz畅速屏 双5G天玑800U 银翼少年 6GB+128GB 30W闪充 手机 OPPO提供售后支持【一年碎屏保套装】",1349,realme真我京东自营旗舰店,5万+
926,真我（realme）,"京品手机	
realme 真我Q2 4800万像素 120Hz畅速屏 双5G天玑800U 冲浪蓝孩 4GB+128GB 30W闪充 手机 OPPO提供售后支持",1299,realme真我京东自营旗舰店,1万+
